Loaded plugins: fastestmirror, langpacks, presto, refresh-packagekit
Loading mirror speeds from cached hostfile
 * fedora: mirror.fdcservers.net
 * rpmfusion-free: mirror.us.leaseweb.net
 * rpmfusion-free-updates: mirror.us.leaseweb.net
 * rpmfusion-nonfree: mirror.us.leaseweb.net
 * rpmfusion-nonfree-updates: mirror.us.leaseweb.net
 * updates: www.gtlib.gatech.edu
Installed Packages
crda.i686                                  1.1.1_2010.11.22-2.fc15      @koji-override-0/$releasever
createrepo.noarch                          0.9.9-11.fc16                @updates
cronie.i686                                1.4.8-10.fc16                @koji-override-0/$releasever
cronie-anacron.i686                        1.4.8-10.fc16                @koji-override-0/$releasever
crontabs.noarch                            1.11-2.20101115git.fc15      @koji-override-0/$releasever
cryptopp.i686                              5.6.1-5.fc16                 @koji-override-0/$releasever
cryptsetup-luks.i686                       1.3.1-3.fc16                 @updates
cryptsetup-luks-libs.i686                  1.3.1-3.fc16                 @updates
cups.i686                                  1:1.5.2-9.fc16               @updates
cups-libs.i686                             1:1.5.2-9.fc16               @updates
cups-pk-helper.i686                        0.1.3-3.fc16                 @updates
curl.i686                                  7.21.7-7.fc16                @updates
cyrus-sasl.i686                            2.1.23-27.fc16               @updates
cyrus-sasl-gssapi.i686                     2.1.23-27.fc16               @updates
cyrus-sasl-lib.i686                        2.1.23-27.fc16               @updates
cyrus-sasl-md5.i686                        2.1.23-27.fc16               @updates
cyrus-sasl-plain.i686                      2.1.23-27.fc16               @updates
dash.i686                                  0.5.7-1.fc16                 @updates
db4.i686                                   4.8.30-3.fc15                @koji-override-0/$releasever
db4-utils.i686                             4.8.30-3.fc15                @koji-override-0/$releasever
dbus.i686                                  1:1.4.10-3.fc16              @koji-override-0/$releasever
dbus-glib.i686                             0.98-2.fc16                  @updates
dbus-libs.i686                             1:1.4.10-3.fc16              @koji-override-0/$releasever
dbus-python.i686                           0.83.0-8.fc15                @koji-override-0/$releasever
dbus-x11.i686                              1:1.4.10-3.fc16              @koji-override-0/$releasever
dconf.i686                                 0.10.0-1.fc16                @koji-override-0/$releasever
deja-dup.i686                              20.1-1.fc16                  @updates
dejavu-fonts-common.noarch                 2.33-1.fc16                  @koji-override-0/$releasever
dejavu-sans-fonts.noarch                   2.33-1.fc16                  @koji-override-0/$releasever
dejavu-sans-mono-fonts.noarch              2.33-1.fc16                  @koji-override-0/$releasever
dejavu-serif-fonts.noarch                  2.33-1.fc16                  @koji-override-0/$releasever
deltarpm.i686                              3.6-0.6.20110223git.fc16     @koji-override-0/$releasever
desktop-backgrounds-gnome.noarch           16.0.0-1.fc16                @koji-override-0/$releasever
desktop-file-utils.i686                    0.18-4.fc16                  @koji-override-0/$releasever
device-mapper.i686                         1.02.65-6.fc16               @updates
device-mapper-event.i686                   1.02.65-6.fc16               @updates
device-mapper-event-libs.i686              1.02.65-6.fc16               @updates
device-mapper-libs.i686                    1.02.65-6.fc16               @updates
device-mapper-multipath.i686               0.4.9-19.fc16                @koji-override-0/$releasever
device-mapper-multipath-libs.i686          0.4.9-19.fc16                @koji-override-0/$releasever
dhclient.i686                              12:4.2.3-11.P2.fc16          @updates
dhcp-common.i686                           12:4.2.3-11.P2.fc16          @updates
dhcp-libs.i686                             12:4.2.3-11.P2.fc16          @updates
dialog.i686                                1.1-14.20110707.fc16         @koji-override-0/$releasever
diffutils.i686                             3.2-5.fc16                   @updates
dirac-libs.i686                            1.0.2-6.fc16                 @koji-override-0/$releasever
dkms.noarch                                2.2.0.3-1.fc16               @updates
dmidecode.i686                             1:2.11-5.fc16                @updates
dmraid.i686                                1.0.0.rc16-15.fc15           @koji-override-0/$releasever
dmraid-events.i686                         1.0.0.rc16-15.fc15           @koji-override-0/$releasever
dnsmasq.i686                               2.59-4.fc16                  @updates
dosfstools.i686                            3.0.12-1.fc16                @updates
dotconf.i686                               1.3-2.fc15                   @koji-override-0/$releasever
dracut.noarch                              018-55.git20120606.fc16      @updates
dump.i686                                  1:0.4-0.11.b44.fc16          @koji-override-0/$releasever
duplicity.i686                             0.6.18-1.fc16                @updates
dvb-apps.i686                              1.1.2-1.1479.37781d27a444.fc16
                                                                        @updates
dvd+rw-tools.i686                          7.1-9.fc16                   @updates
e2fsprogs.i686                             1.41.14-2.fc15               @koji-override-0/$releasever
e2fsprogs-libs.i686                        1.41.14-2.fc15               @koji-override-0/$releasever
ed.i686                                    1.5-2.fc15                   @koji-override-0/$releasever
eekboard.i686                              1.0.5-1.fc16                 @updates
eekboard-libs.i686                         1.0.5-1.fc16                 @updates
eekboard-python.i686                       1.0.5-1.fc16                 @updates
efibootmgr.i686                            0.5.4-11.fc15                @koji-override-0/$releasever
eject.i686                                 2.1.5-21.fc15                @koji-override-0/$releasever
elfutils.i686                              0.154-1.fc16                 @updates
elfutils-libelf.i686                       0.154-1.fc16                 @updates
elfutils-libs.i686                         0.154-1.fc16                 @updates
empathy.i686                               3.2.2-1.fc16                 @updates
enca.i686                                  1.13-2.fc15                  @koji-override-0/$releasever
enchant.i686                               1:1.6.0-3.fc16               @koji-override-0/$releasever
eog.i686                                   3.2.1-2.fc16                 @koji-override-0/$releasever
espeak.i686                                1.46.02-1.fc16               @updates
ethtool.i686                               2:3.1-1.fc16                 @updates
evince.i686                                3.2.1-2.fc16                 @koji-override-0/$releasever
evince-libs.i686                           3.2.1-2.fc16                 @koji-override-0/$releasever
evince-nautilus.i686                       3.2.1-2.fc16                 @koji-override-0/$releasever
evolution.i686                             3.2.3-3.fc16                 @updates
evolution-NetworkManager.i686              3.2.3-3.fc16                 @updates
evolution-data-server.i686                 3.2.3-4.fc16                 @updates
exempi.i686                                2.2.0-1.fc16                 @updates
exiv2-libs.i686                            0.21.1-3.fc16                @koji-override-0/$releasever
expat.i686                                 2.1.0-1.fc16                 @updates
farsight2.i686                             0.0.31-1.fc16                @koji-override-0/$releasever
farsight2-python.i686                      0.0.31-1.fc16                @koji-override-0/$releasever
fcoe-utils.i686                            1.0.20-5.fc16                @updates
fedora-bookmarks.noarch                    15-0.1                       @koji-override-0/$releasever
fedora-icon-theme.noarch                   1.0.0-11.fc15                @koji-override-0/$releasever
fedora-logos.noarch                        16.0.2-1.fc16                @koji-override-0/$releasever
fedora-release.noarch                      16-1                         @koji-override-0/$releasever
fedora-release-notes.noarch                16.1.0-1.fc16                @koji-override-1/$releasever
festival.i686                              1.96-18.fc16                 @koji-override-0/$releasever
festival-freebsoft-utils.noarch            0.10-2.fc15                  @koji-override-0/$releasever
festival-lib.i686                          1.96-18.fc16                 @koji-override-0/$releasever
festival-speechtools-libs.i686             1.2.96-18.fc16               @koji-override-0/$releasever
festvox-slt-arctic-hts.noarch              0.20061229-18.fc16           @koji-override-0/$releasever
fftw-libs.i686                             3.3.1-2.fc16                 @updates
fftw-libs-double.i686                      3.3.1-2.fc16                 @updates
fftw-libs-long.i686                        3.3.1-2.fc16                 @updates
fftw-libs-quad.i686                        3.3.1-2.fc16                 @updates
fftw-libs-single.i686                      3.3.1-2.fc16                 @updates
file.i686                                  5.07-6.fc16                  @koji-override-0/$releasever
file-libs.i686                             5.07-6.fc16                  @koji-override-0/$releasever
file-roller.i686                           3.2.1-2.fc16                 @koji-override-0/$releasever
file-roller-nautilus.i686                  3.2.1-2.fc16                 @koji-override-0/$releasever
filesystem.i686                            2.4.44-1.fc16                @koji-override-0/$releasever
findutils.i686                             1:4.5.10-1.fc16              @koji-override-0/$releasever
fipscheck.i686                             1.3.0-2.fc15                 @koji-override-0/$releasever
fipscheck-lib.i686                         1.3.0-2.fc15                 @koji-override-0/$releasever
firefox.i686                               14.0.1-1.fc16                @updates
firstboot.i686                             16.4-1.fc16                  @koji-override-0/$releasever
flac.i686                                  1.2.1-8.fc16                 @updates
flite.i686                                 1.3-16.fc16                  @koji-override-0/$releasever
folks.i686                                 1:0.6.6-1.fc16               @updates
fontconfig.i686                            2.8.0-4.fc16                 @koji-override-0/$releasever
fontpackages-filesystem.noarch             1.44-2.fc15                  @koji-override-0/$releasever
foomatic-filters.i686                      4.0.8-8.fc16                 @updates
fpaste.noarch                              0.3.7-1.fc16                 @koji-override-0/$releasever
fprintd.i686                               0.4.1-1.fc16                 @updates
fprintd-pam.i686                           0.4.1-1.fc16                 @updates
freetype.i686                              2.4.6-5.fc16                 @updates
fribidi.i686                               0.19.2-3.fc15                @fedora 
fuse.i686                                  2.8.6-1.fc16                 @koji-override-0/$releasever
fuse-libs.i686                             2.8.6-1.fc16                 @koji-override-0/$releasever
fxload.i686                                2002_04_11-10.fc15           @koji-override-0/$releasever
gamin.i686                                 0.1.10-10.fc16               @koji-override-0/$releasever
gawk.i686                                  4.0.1-1.fc16                 @updates
gcalctool.i686                             6.2.0-1.fc16                 @koji-override-0/$releasever
gcc.i686                                   4.6.3-2.fc16                 @updates
gcc-c++.i686                               4.6.3-2.fc16                 @updates
gd.i686                                    2.0.35-17.fc16               @updates
gdb.i686                                   7.3.50.20110722-13.fc16      @updates
gdbm.i686                                  1.8.3-9.fc15                 @koji-override-0/$releasever
gdk-pixbuf2.i686                           2.24.1-1.fc16                @updates
gdm.i686                                   1:3.2.1.1-10.fc16            @updates
geany.i686                                 1.22-1.fc16                  @updates
gedit.i686                                 2:3.2.6-1.fc16               @updates
genisoimage.i686                           1.1.11-8.fc16                @koji-override-0/$releasever
geoclue.i686                               0.12.0-7.fc16                @koji-override-0/$releasever
gettext.i686                               0.18.1.1-9.1.fc16            @updates
gettext-libs.i686                          0.18.1.1-9.1.fc16            @updates
ghostscript.i686                           9.04-7.fc16                  @updates
ghostscript-cups.i686                      9.04-7.fc16                  @updates
ghostscript-fonts.noarch                   5.50-27.fc16                 @koji-override-0/$releasever
giflib.i686                                4.1.6-4.fc15                 @koji-override-0/$releasever
git.i686                                   1.7.7.6-1.fc16               @updates
gjs.i686                                   1.30.1-1.fc16                @updates
glib-networking.i686                       2.30.1-2.fc16                @koji-override-0/$releasever
glib2.i686                                 2.30.3-1.fc16                @updates
glibc.i686                                 2.14.90-24.fc16.7            @updates
glibc-common.i686                          2.14.90-24.fc16.7            @updates
glibc-devel.i686                           2.14.90-24.fc16.7            @updates
glibc-headers.i686                         2.14.90-24.fc16.7            @updates
glibmm24.i686                              2.30.0-1.fc16                @koji-override-0/$releasever
glx-utils.i686                             7.10-5.20101028.fc16         @koji-override-0/$releasever
gmime.i686                                 2.5.8-1.fc16                 @koji-override-0/$releasever
gmp.i686                                   1:4.3.2-5.fc16               @updates
gnome-backgrounds.noarch                   3.2.0-1.fc16                 @koji-override-0/$releasever
gnome-bluetooth.i686                       1:3.2.2-1.fc16               @updates
